股票代码,股票名称,成交量
513030,华安德国(DAX)ETF(QDII),6663946921.0
513130,华泰柏瑞南方东英恒生科技(QDII-ETF),6609030486.0
513050,易方达中概互联50ETF,5365964705.0
513080,华安法国CAC40ETF(QDII),2342738810.0
518880,华安黄金易ETF,1763391430.0
159866,工银瑞信大和日经225ETF(QDII),728634216.1
513100,国泰纳斯达克100ETF,475567813.0
513500,博时标普500ETF,444398783.0
164824,工银印度基金人民币,270390588.247
159985,华夏饲料豆粕期货ETF,264938386.5
513310,华泰柏瑞中韩半导体ETF(QDII),233282169.0
