股票代码,股票名称
603919,金徽酒
600702,舍得酒业
000799,酒鬼酒
600696,*ST岩石
000596,古井贡酒
000858,五 粮 液
600559,老白干酒
000995,皇台酒业
000568,泸州老窖
600519,贵州茅台
600809,山西汾酒
603198,迎驾贡酒
600199,金种子酒
600197,伊力特
603589,口子窖
002304,洋河股份
603369,今世缘
002646,天佑德酒
600779,水井坊
000860,顺鑫农业
